area,group,special
2012,4338.0,0
1957,768.75,0
2014,9.77,0
1976,736.31,0
2014,37.52,0
2014,36.0,0
2014,74.0,0
2014,270.0,0
2013,221.06,0
2014,34.31,0
1994,140.63,0
1972,73.5,0
1980,169.0,0
1985,754.34,0
2004,315.0,0
2004,272.88,0
2003,3481.0,0
1959,1440.0,0
1957,1298.5,0
2002,907.83,0
2002,855.0,0
2002,406.84,0
2002,582.5,0
2002,799.97,0
2014,5735.03,0
2011,897.64,0
2003,1926.0,0
1973,2301.47,0
2013,151.58,0
2013,106.49,0
2014,24.0,0
2013,245.82,0
2002,207.78,0
1966,4.52,572
2014,263.06,0
2014,2128.5,0
2014,1280.0,0
2014,1280.0,0
2014,1280.0,0
2014,1280.0,0
2014,1280.0,0
2014,1280.0,0
2014,1280.0,0
2014,1280.0,0
2012,18.59,0
2013,2334.5,0
2013,136.5,0
1972,974.19,0
2014,263.06,0
2014,305.25,0
2014,315.56,0
2001,35.0,0
2014,28.5,0
1927,7.81,450
1927,9.75,450
2013,72.19,0
2014,193.75,0
2014,20.0,0
2014,20.0,0
2014,20.0,0
2002,605.95,0
2013,895.5,0
2013,90.85,0
2013,41.64,0
2013,89.89,0
2013,53.4,0
2013,187.0,0
2013,247.0,0
2013,125.34,0
2013,106.7,0
2013,151.58,0
2013,141.05,0
2013,106.7,0
2013,93.5,0
2013,106.7,0
2013,64.36,0
2013,103.37,0
2013,45.89,0
2013,105.39,0
2013,247.0,0
2013,93.5,0
2013,187.0,0
2013,90.75,0
2013,238.0,0
2013,93.5,0
2013,56.0,0
2013,103.67,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,187.0,0
2013,93.5,0
2013,245.82,0
2013,245.82,0
2013,245.82,0
2013,245.82,0
2013,93.5,0
2013,93.5,0
2013,245.82,0
2013,93.5,0
2013,152.63,0
2013,152.63,0
2013,152.63,0
2013,392.99,0
2013,93.5,0
2013,92.29,0
1976,4247.34,0
1980,3577.0,0
2002,344.0,0
2003,1073.5,0
2003,1824.0,0
2002,287.11,0
1986,48.47,0
1971,593.69,0
1963,2470.47,0
1981,170.3,0
1967,1759.5,0
1993,761.02,0
1978,301.0,0
2002,273.08,0
2002,202.31,0
2002,533.22,0
2002,860.0,0
2013,121.51,0
2003,2273.25,0
2013,93.5,0
1927,1.88,450
1927,2.15,450
1927,5.93,450
2003,854.81,0
2003,321.94,0
2003,532.81,0
2004,575.07,0
1981,1154.69,0
2003,1575.0,0
1997,3280.0,0
2013,93.5,0
1982,463.64,0
1982,461.19,0
2002,672.66,0
2002,557.6,0
1980,5216.25,0
2002,37.5,0
2007,96.94,190
2007,110.25,190
2007,102.0,190
2007,107.81,190
